房子标题,小区名字,小区地址,相关信息,房价总价/万,每平方价格
曦城一期联排 坐北朝南 户型方正 红本在手 通风采光好,招商华侨城曦城一二期 ,曦城,5室3厅 | 258.29平米 | 南 | 精装 | 1层 | 2007年建 | 暂无数据 | 联排别墅 ,2600,100663
前海小户型，交通便利，高楼层，视野好,阳光花地苑 ,前海,1室1厅 | 37.55平米 | 南 | 简装 | 高楼层(共27层) | 2010年建 | 塔楼,467,124368
电梯大两房，产权清晰满五唯一好房源,日出印象二期 ,红山,2室1厅 | 76.66平米 | 东南 南 | 精装 | 中楼层(共11层) | 2005年建 | 塔楼,453,59093
地铁口 花园中间 电梯两房 小区自带幼儿园,中兆花园 ,布吉大芬,2室1厅 | 70平米 | 东南 | 精装 | 低楼层(共22层) | 2001年建 | 板塔结合,255,36429
地铁口、满五唯一、电梯2+1房、万科配套、,风临域 ,龙岗中心城,3室2厅 | 77.8平米 | 西南 | 精装 | 中楼层(共17层) | 2009年建 | 板塔结合,360,46273
地铁口物业，户型方正大三房，看荔枝公园美景，诚售,红岭大厦 ,上步,3室1厅 | 98.1平米 | 西南 | 简装 | 中楼层(共28层) | 1985年建 | 板塔结合,500,50969
地铁口物业，荔园+红岭，交通便利,玮鹏花园 ,华强北,2室1厅 | 81.08平米 | 西北 | 简装 | 高楼层(共31层) | 2003年建 | 塔楼,1000,123335
精装三房  满五唯一 看房方便,福永花苑 ,福永,3室2厅 | 76.5平米 | 东 东南 | 简装 | 中楼层(共8层) | 1998年建 | 板塔结合,375,49020
登良花园 满五年红本在手 中低楼层 住家装修,登良花园 ,南山中心,2室1厅 | 52.57平米 | 东北 | 精装 | 中楼层(共8层) | 2000年建 | 板塔结合,390,74187
"四季御园关口物业,满五年家庭唯一，精装修三房",四季御园 ,莲塘,3室1厅 | 83.6平米 | 北 | 精装 | 中楼层(共44层) | 2015年建 | 板塔结合,548,65551
金地梅陇镇一期 3室2厅 689万,金地梅陇镇一期 ,龙华新区,3室2厅 | 106.7平米 | 南 | 简装 | 中楼层(共11层) | 2006年建 | 板塔结合,689,64574
爱华大院 3室2厅 660万,爱华大院 ,华强南,3室2厅 | 96.07平米 | 南 | 简装 | 中楼层(共8层) | 1991年建 | 板楼,660,68700
中兆花园  满2年  户型实用方正  近地铁口物业,中兆花园 ,布吉大芬,2室1厅 | 46.1平米 | 东南 南 | 精装 | 高楼层(共8层) | 1999年建 | 板塔结合,209,45337
中海怡翠山庄四期 2室1厅 325万,中海怡翠山庄四期 ,布吉水径,2室1厅 | 71.74平米 | 东北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,325,45303
东部阳光 东南向精装三房 满五唯一 可免个税 保养好,东部阳光 ,沙头角,3室2厅 | 88.77平米 | 东南 | 精装 | 低楼层(共11层) | 2001年建 | 板塔结合,398,44835
丽湖花园小三房，满五唯一红本在手税费少，中间楼层,丽湖花园二期 ,布吉水径,3室1厅 | 63.3平米 | 西 | 简装 | 中楼层(共8层) | 1998年建 | 板塔结合,243,38389
"京基东方华都,东南两居室，满五年，螺岭，京基开发",京基东方华都 ,螺岭,2室2厅 | 60.22平米 | 东南 | 精装 | 中楼层(共32层) | 2005年建 | 板塔结合,530,88011
坂银首站，第五园精装两房，满五唯一，看山看水！,万科第五园八期 ,坂田,2室1厅 | 74.82平米 | 西南 | 精装 | 高楼层(共20层) | 2009年建 | 塔楼,475,63486
中兆花园 实用2房 中楼层 装修保养好 业主诚心出售,中兆花园 ,布吉大芬,2室2厅 | 45.7平米 | 东南 | 精装 | 低楼层(共8层) | 2000年建 | 板塔结合,228,49891
科技园五十八区  拎包入住 红本在手，自住保养好,科技园五十八区 ,科技园,3室2厅 | 98.75平米 | 南 | 精装 | 中楼层(共7层) | 1998年建 | 板楼,1480,149874
满五年 幸福海 南向两房 中层 采光佳 方方面面都不错,幸福海 ,盐田港,2室1厅 | 56.96平米 | 东北 | 简装 | 中楼层(共20层) | 2011年建 | 板塔结合,230,40380
龙岗实验 欧景城花园 朝南3房2卫 满五红本,欧景城花园 ,龙岗中心城,3室2厅 | 105.84平米 | 南 | 精装 | 低楼层(共11层) | 2002年建 | 板塔结合,438,41384
时代华庭 3室2厅 768万,时代华庭 ,景田,3室2厅 | 102.27平米 | 东南 | 精装 | 低楼层(共30层) | 2000年建 | 板塔结合,768,75096
此房满5年唯一高楼层超东安静看花园有钥匙税费少,叠翠新峰花园 ,龙岗双龙,3室1厅 | 88.37平米 | 东 | 精装 | 高楼层(共9层) | 2004年建 | 板塔结合,308,34854
精装三房 高楼层，视野无遮挡，诚心出售，价格可谈,万科麓城三期 ,布吉水径,3室1厅 | 88.24平米 | 西南 | 精装 | 中楼层(共40层) | 2017年建 | 板塔结合,575,65164
满五费用低，精致装修，带大阳台，双地铁口 ，近口岸,长丰苑 ,春风路,1室0厅 | 45.96平米 | 西南 | 精装 | 中楼层(共29层) | 1999年建 | 板塔结合,178,38730
茵悦之生 满五年 实用两房 业主实在卖 看房方便,茵悦之生花园三期 ,布吉水径,2室2厅 | 68.41平米 | 东南 | 精装 | 中楼层(共18层) | 2007年建 | 塔楼,400,58471
景贝南三房 满五唯一，70年红本 业主诚心出售,景贝南小区 ,黄贝岭,3室1厅 | 94.64平米 | 南 北 | 简装 | 高楼层(共7层) | 1985年建 | 板塔结合,618,65301
"此房满五年唯一，大三房,业主诚信卖房。",金地梅陇镇一期 ,龙华新区,3室2厅 | 107.95平米 | 东南 | 简装 | 低楼层(共24层) | 2006年建 | 板塔结合,698,64660
诚心出售  方正安静1房  配套齐全  通风采光好 优房,皇庭彩园 ,皇岗,1室1厅 | 43.47平米 | 东北 | 精装 | 低楼层(共32层) | 2003年建 | 板塔结合,388,89257
关内大阳台两房，满五唯一，卧室出阳台，直通南山,风格名苑 ,地王,2室1厅 | 63.57平米 | 东南 | 简装 | 低楼层(共27层) | 2006年建 | 板塔结合,468,73620
金地上塘道3加1户型 满五年唯一  客厅出阳台朝南,金地上塘道一期 ,红山,3室2厅 | 78.37平米 | 东南 | 精装 | 高楼层(共24层) | 2010年建 | 板塔结合,619,78985
阳光充足，安静看花园，精装修两房,松坪村东区三期 ,科技园,2室1厅 | 60.07平米 | 西北 | 精装 | 中楼层(共34层) | 2012年建 | 塔楼,565,94057
满五唯一东南向看山景保养好，看房方便,满京华喜悦里 ,龙岗双龙,3室2厅 | 81.31平米 | 东南 | 精装 | 高楼层(共32层) | 2014年建 | 塔楼,380,46735
润府三期 精装两房，采光好，诚心出售,华润城润府三期 ,科技园,2室2厅 | 86.99平米 | 西南 | 精装 | 34层 | 2018年建 | 板塔结合,1500,172434
满五年 地铁口物业，近荔枝公园高层业主诚心卖,荔景大厦 ,地王,3室1厅 | 162.08平米 | 西 西南 | 精装 | 中楼层(共23层) | 1994年建 | 板塔结合,560,34551
黄埔二期东南向安静 户型方正 业主诚心卖 看房方便,黄埔雅苑二期 ,莲花,3室1厅 | 151.14平米 | 东南 | 精装 | 低楼层(共28层) | 2002年建 | 塔楼,1350,89322
正规小三房，实用，安静，居家适宜！,中加名园 ,布吉关,3室1厅 | 72.69平米 | 西 | 简装 | 低楼层(共7层) | 2005年建 | 板塔结合,345,47462
满五唯一，红本在手，没有欠款，看房提前预约,中旅国际公馆2期 ,香蜜湖,3室2厅 | 127.72平米 | 南 北 | 简装 | 低楼层(共10层) | 2006年建 | 板塔结合,2350,183997
此房满五年，电梯大三房，业主诚心出售,中海怡瑞山居 ,布吉石芽岭,3室1厅 | 83.32平米 | 南 北 | 精装 | 高楼层(共29层) | 2007年建 | 塔楼,355,42607
金茂礼都一房 总价低 A类80积分纯住宅,金茂礼都 ,华强北,1室1厅 | 43.04平米 | 南 | 简装 | 低楼层(共32层) | 2004年建 | 塔楼,830,192844
前海路大花园社区 精装大2房 诚心出售,星海名城三期 ,前海,2室1厅 | 70.43平米 | 东 | 精装 | 中楼层(共18层) | 2004年建 | 塔楼,700,99390
心语雅园，业主诚心出售。。。。。。,心语雅园 ,前海,1室0厅 | 25.66平米 | 西南 | 简装 | 高楼层(共18层) | 2003年建 | 塔楼,325,126657
满五唯一，无增值税，业主诚心出售，高楼层,兴达华府 ,西乡,1室1厅 | 31.42平米 | 西北 | 精装 | 高楼层(共29层) | 2009年建 | 板塔结合,246,78295
满五年唯一，桃源村中间楼层，中间位置，税费少,桃源村一期 ,西丽,3室1厅 | 71.75平米 | 北 | 精装 | 中楼层(共7层) | 1997年建 | 板楼,540,75262
满五唯一 正规大两房 诚心卖！！,俊景园 ,西乡,2室1厅 | 76平米 | 西北 | 简装 | 高楼层(共23层) | 2008年建 | 板塔结合,460,60527
地铁口物业，精装修，景观好看花园,金域豪庭 ,福永,3室2厅 | 116.1平米 | 东 | 精装 | 高楼层(共13层) | 2005年建 | 板塔结合,690,59432
大东城二期 4室2厅 558万,大东城二期 ,坪山,4室2厅 | 85.31平米 | 南 | 精装 | 中楼层(共32层) | 2014年建 | 塔楼,558,65409
中海怡翠山庄，精致一房带花园，户型方正,中海怡翠山庄二期 ,布吉水径,1室1厅 | 48.38平米 | 南 | 精装 | 低楼层(共7层) | 2000年建 | 塔楼,260,53742
满五唯一，业主诚心卖，2+1户型，装修漂亮,泰华君逸世家 ,宝安中心,2室1厅 | 80.64平米 | 东北 | 精装 | 中楼层(共29层) | 2007年建 | 塔楼,880,109127
朝南大两房  原始户型 自住 采光好 装修保养很漂亮 ！,万科红一期 ,布吉关,2室2厅 | 61.53平米 | 东南 | 精装 | 中楼层(共31层) | 2011年建 | 板塔结合,410,66635
无缝衔接地铁口！18年次新小区！高楼层安静不吵看花园,龙光玖龙玺 ,梅林关,3室2厅 | 81.51平米 | 东南 | 精装 | 高楼层(共31层) | 2016年建 | 塔楼,880,107963
业主诚心出售， 满五唯一， 户型方正，大阳台,尚景华园 ,龙岗中心城,3室1厅 | 102.94平米 | 东南 | 简装 | 低楼层(共6层) | 2001年建 | 板塔结合,409,39732
3+5+14号三条线，实用2+1的小户型，看房方便，诚心卖,翡翠星光园 ,布吉关,2室1厅 | 54.95平米 | 北 | 简装 | 高楼层(共28层) | 2007年建 | 板塔结合,287,52230
皇庭世纪大花园 户型方正 业主有心出售,皇庭世纪 ,石厦,2室1厅 | 63.2平米 | 西北 | 精装 | 高楼层(共31层) | 2004年建 | 板塔结合,620,98102
精装两房，近地铁，看花园，业主诚心出售,百仕达东郡 ,百仕达,2室1厅 | 75.64平米 | 东南 | 精装 | 低楼层(共27层) | 2005年建 | 板塔结合,550,72713
福永花苑，小高层精装两房，满五年，费用少,福永花苑 ,福永,2室2厅 | 59.09平米 | 东南 | 精装 | 低楼层(共8层) | 1999年建 | 板楼,320,54155
置身花园中，泳池旁，4楼，朝南看花园,美丽365花园 ,龙华中心,2室1厅 | 75.77平米 | 东南 | 简装 | 中楼层(共9层) | 2002年建 | 板楼,395,52132
此房客厅出大阳台 户型方方正正 采光充足 诚意出售 ..,英郡年华 ,丹竹头,3室2厅 | 99.42平米 | 东南 | 简装 | 低楼层(共18层) | 2006年建 | 塔楼,397,39932
锦绣东方大三房出售，楼层好，看花园，视野好,锦绣东方 ,龙岗中心城,3室1厅 | 85.11平米 | 北 | 简装 | 中楼层(共11层) | 2005年建 | 板塔结合,500,58748
刚需  万象天成一房70年产权住宅楼,万象天成 ,龙岗中心城,1室0厅 | 39.85平米 | 西北 | 简装 | 中楼层(共26层) | 2010年建 | 塔楼,,35258
不受新政影响 免个税 满五唯一物业+自住保养好！,锦龙名苑 ,龙岗双龙,2室2厅 | 88.01平米 | 东南 | 精装 | 中楼层(共9层) | 2008年建 | 板塔结合,270,30679
自住，满五唯一红本，享壹城商ye，属行知小xue区,新华城 ,龙华新区,2室1厅 | 70.83平米 | 南 北 | 简装 | 低楼层(共30层) | 2010年建 | 板塔结合,420,59297
户型方正，精装修，楼层好，安静，诚心出售,荔园阁 ,梅林,2室2厅 | 63.81平米 | 北 | 精装 | 中楼层(共8层) | 1999年建 | 板楼,470,73657
业主诚心出售  看房方便  装修好 采光好 税费少,桃源居七区 ,桃源居,3室2厅 | 115.49平米 | 西南 | 精装 | 低楼层(共18层) | 2004年建 | 板塔结合,700,60612
世界之窗地铁口，视野开阔，采光充足，交通便利。,东方花园桂花苑 ,华侨城,3室2厅 | 132.84平米 | 东南 | 精装 | 高楼层(共28层) | 1993年建 | 板塔结合,1050,79043
房子满五年位置安静舒适，前后无遮挡视野宽阔居家装修,星河银湖谷 ,坂田,4室2厅 | 88.25平米 | 西北 | 精装 | 低楼层(共48层) | 2016年建 | 塔楼,790,89519
上品雅园精装三房两位 带储物间,佳兆业上品雅园 ,坂田,3室1厅 | 88.12平米 | 西南 | 精装 | 低楼层(共33层) | 2010年建 | 塔楼,750,85112
超大客厅，花园中间位置，百万装修，高楼层，看房方便,莱蒙水榭春天二期 ,红山,4室2厅 | 141.01平米 | 东南 | 精装 | 中楼层(共33层) | 2011年建 | 板楼,1000,70917
业主诚心卖 高层安静新装修3+1户型 西南看花园,天骄世家 ,西乡,3室2厅 | 96.15平米 | 东南 | 精装 | 高楼层(共17层) | 2002年建 | 板塔结合,690,71763
鸿隆广场精装修复式2房，拎包入住，高层安静户型,鸿隆广场 ,西乡,2室1厅 | 47.6平米 | 东北 | 精装 | 中楼层(共32层) | 2005年建 | 板塔结合,395,82984
布吉关口，国展苑 正规3房，朝南向，满五唯一,国展苑 ,布吉关,3室1厅 | 86平米 | 东南 | 简装 | 低楼层(共34层) | 1999年建 | 塔楼,330,38373
花园中间，高楼层精装4+1大平层，前后通透，即买即住,星河盛世 ,梅林关,4室2厅 | 132.93平米 | 东南 | 精装 | 高楼层(共30层) | 2013年建 | 塔楼,950,71467
康桥精装2房 红本满五唯一 看房方便,中城康桥花园二期 ,丹竹头,2室1厅 | 70.08平米 | 西北 | 精装 | 低楼层(共18层) | 2005年建 | 板楼,,48345
万科南山品质精装两房，总部基地旁,万科云城 ,西丽,2室2厅 | 50.8平米 | 北 | 精装 | 高楼层(共33层) | 2018年建 | 塔楼,360,70867
满五唯一，中高楼层，精装修自住才1年多，红本在手的,特发和平里 ,上塘,3室1厅 | 83.99平米 | 南 | 精装 | 中楼层(共31层) | 2014年建 | 塔楼,680,80963
此房满五唯一，少量欠款，中高楼层南北通透,丽沙花都 ,沙井,3室2厅 | 97.26平米 | 南 北 | 精装 | 中楼层(共12层) | 2005年建 | 板塔结合,590,60663
此房满两的税费少 楼层佳采光好 精装修居安安静,振业峦山谷 ,龙岗宝荷,2室1厅 | 57.71平米 | 南 | 精装 | 中楼层(共32层) | 2009年建 | 板塔结合,238,41241
华府一期两房，花园中间栋，中间楼层，保养好。,万科金域华府 ,梅林关,2室2厅 | 85.12平米 | 东南 | 精装 | 中楼层(共34层) | 2008年建 | 塔楼,780,91636
大运新城，交通便利，生活设施配套完善。,龙城华府 ,龙岗中心城,3室2厅 | 63.46平米 | 南 西南 西 | 精装 | 中楼层(共18层) | 2007年建 | 板塔结合,300,47274
怀德公元精装修三房，户型方正，楼层好，看花园景观。,怀德公元 ,福永,3室2厅 | 85.69平米 | 西南 | 精装 | 中楼层(共26层) | 2016年建 | 板楼,600,70020
桑达雅苑 70年纯住宅，满五唯一,桑达雅苑 ,华强北,1室1厅 | 63.81平米 | 北 | 精装 | 中楼层(共25层) | 2004年建 | 塔楼,980,153581
业主换房，诚心放卖。朝向好，中楼层,漾福居 ,华强南,1室1厅 | 35.56平米 | 南 | 简装 | 低楼层(共31层) | 2003年建 | 板塔结合,270,75929
满五年，红本在手，唯一，精装，采光好，交通便利,万科城二期 ,坂田,3室2厅 | 83.49平米 | 北 | 精装 | 高楼层(共6层) | 2006年建 | 塔楼,530,63481
300万装修 27平米大阳台  5居室 3个套房 全屋新风系统,香山美墅二期 ,华侨城,5室2厅 | 244.19平米 | 东南 南 | 精装 | 中楼层(共11层) | 2014年建 | 板楼,3650,149474
中高楼层 红本在手满五年 甜蜜的家园,蜜园 ,新洲,2室1厅 | 57.73平米 | 东 | 简装 | 中楼层(共33层) | 2007年建 | 塔楼,510,88343
满五唯一 免增值税  怀德大三房 业主自住保养好,怀德公元 ,福永,3室2厅 | 89.85平米 | 东北 | 精装 | 低楼层(共26层) | 2016年建 | 塔楼,600,66778
此房满五唯一.红本在手.没有抵押.价格美丽！,松坪村西区三期 ,科技园,2室1厅 | 48.72平米 | 东南 | 精装 | 低楼层(共35层) | 2012年建 | 塔楼,480,98523
九州家园三房两厅出售，户型方正看房方便,九州家园 ,龙岗双龙,3室2厅 | 116.8平米 | 东南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,324,27740
新会展旁  总价五字头 精装修,同和悦园 ,福永,3室2厅 | 82.49平米 | 东南 | 精装 | 低楼层(共24层) | 2016年建 | 板楼,530,64251
万科物业 小区门口就是地铁口 高层精装修 南北格局,万科城四期 ,坂田,5室2厅 | 149.08平米 | 南 | 精装 | 高楼层(共31层) | 2008年建 | 塔楼,800,53663
摩尔城朝南大两房 无缝对接地铁口  满五唯一税费少,鹏达摩尔城 ,龙岗双龙,2室2厅 | 82.49平米 | 东南 | 精装 | 低楼层(共31层) | 2010年建 | 塔楼,288,34914
正南两房，客厅正出阳台，满五唯一，诚心出售,信义嘉御山 ,坂田,2室1厅 | 76.38平米 | 南 | 精装 | 中楼层(共26层) | 2013年建 | 板塔结合,610,79864
满五红本 布吉地铁口两房 高楼层风哗啦啦吹  全明格局,百合星城一期 ,布吉关,2室2厅 | 62.23平米 | 西北 | 简装 | 高楼层(共30层) | 2003年建 | 塔楼,,41910
石厦商圈丽阳天下正规东南两房诚心出售,丽阳天下 ,石厦,2室1厅 | 65.99平米 | 东南 | 简装 | 低楼层(共32层) | 2003年建 | 塔楼,800,121231
满五唯一，朝南向，安静，精装三房,潜龙曼海宁花园南区 ,上塘,3室2厅 | 88.1平米 | 南 | 精装 | 高楼层(共28层) | 2011年建 | 塔楼,750,85131
婚房满五唯一 少税  花园中间 急售,中信领航 ,西乡,4室2厅 | 89.61平米 | 东南 | 简装 | 低楼层(共31层) | 2013年建 | 塔楼,740,82581
少有客厅出阳台。南向采光好，满五年唯一，红本在手,中信湾上六座 ,碧海,3室2厅 | 86.13平米 | 南 | 精装 | 低楼层(共32层) | 2009年建 | 板塔结合,800,92883
满五年，唯一，税费底，好楼层，朝南,怡乐花园 ,丹竹头,2室1厅 | 72.86平米 | 南 | 精装 | 中楼层(共12层) | 2004年建 | 板塔结合,338,46391
满五年 地铁口 居家精装三房 看房方便,碧馨苑 ,石厦,3室1厅 | 90.19平米 | 北 | 精装 | 中楼层(共18层) | 2001年建 | 板塔结合,980,108660
一手业主  保养好，高楼层景观 视野开阔。,京基御景东方 ,红树湾,4室3厅 | 234.05平米 | 南 | 精装 | 高楼层(共33层) | 2007年建 | 板塔结合,2888,123393
怡龙 南向2房  满5少欠款 少税 自住装修保养好高层,怡龙枫景园 ,龙岗双龙,2室2厅 | 75.08平米 | 东南 | 精装 | 高楼层(共26层) | 2011年建 | 板塔结合,,39798
泰华俊庭2房 满五唯一 业主诚心卖,泰华俊庭 ,翻身,2室1厅 | 61.75平米 | 西北 | 精装 | 高楼层(共32层) | 2005年建 | 板塔结合,510,82592
满五年业主诚心出售，带大露台，户型好,吉祥来花园 ,龙岗中心城,3室1厅 | 91.82平米 | 东南 | 精装 | 低楼层(共11层) | 2003年建 | 板塔结合,338,36812
此房子满 了  5年红本 在手精装修,万科城三期 ,坂田,1室0厅 | 34.66平米 | 东 北 | 精装 | 高楼层(共21层) | 2007年建 | 塔楼,236,68091
满五年唯一红本高楼层正南向大阳台视野开阔,富通好旺角一期 ,宝安中心,2室1厅 | 37.47平米 | 东南 | 简装 | 中楼层(共21层) | 2004年建 | 板塔结合,530,141447
"经典小两房,使用率90％,高层西南向,采光通风佳!",宝田雅苑 ,西乡,2室1厅 | 51.02平米 | 西南 | 精装 | 高楼层(共16层) | 2010年建 | 板塔结合,405,79381
金地上塘道优质一房 精装 中间楼层 朝花园,金地上塘道一期 ,红山,1室1厅 | 45.44平米 | 南 | 精装 | 中楼层(共24层) | 2010年建 | 板塔结合,360,79226
宝安小两房 户型好 总价低 业主诚心出售,兴达华府 ,西乡,2室1厅 | 40.06平米 | 东北 | 简装 | 低楼层(共29层) | 2009年建 | 板塔结合,319,79631
名骏豪庭 满五年 费用少 中等楼层 朝南安静,名骏豪庭 ,莲塘,2室1厅 | 69.3平米 | 南 | 简装 | 低楼层(共18层) | 2003年建 | 板塔结合,380,54835
满五唯一 刚需小户型 高使用率 电梯花园小区,福永花苑 ,福永,3室2厅 | 76.5平米 | 东南 | 精装 | 中楼层(共8层) | 1997年建 | 板塔结合,375,49020
南国丽园 3室1厅 480万,南国丽园 ,龙华中心,3室1厅 | 75.83平米 | 东南 | 精装 | 低楼层(共17层) | 2007年建 | 塔楼,480,63300
低楼层，视野宽阔，采光充足，配套设施齐全,新地中央 ,公明,3室2厅 | 88.65平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,550,62042
骏景华庭优质三房，花园中间位置中高层视野开阔采光佳,骏景华庭 ,民治,3室2厅 | 76.24平米 | 南 | 精装 | 高楼层(共18层) | 2007年建 | 板塔结合,488,64009
满五红本唯一大阳台 地铁口大3房，，看房方便诚售,京南华庭 ,布吉关,3室1厅 | 98.7平米 | 南 | 简装 | 中楼层(共18层) | 2008年建 | 塔楼,418,42351
满五红本一手业主，诚售尚峰五房次新房，看房有钥匙,鸿荣源尚峰 ,布吉石芽岭,5室1厅 | 114.3平米 | 东 | 毛坯 | 高楼层(共32层) | 2016年建 | 板楼,845,73929
龙岗风临四季70平标准两房  价格可谈看房方便诚心卖,风临四季 ,龙岗双龙,2室2厅 | 70.39平米 | 东南 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,218,30971
地铁口 康桥花园2房出售 满五唯一,中城康桥花园一期 ,丹竹头,2室1厅 | 65.48平米 | 北 | 简装 | 高楼层(共6层) | 2000年建 | 板塔结合,268,40929
此房精装修，满五唯一，视野开阔，业主诚心出售,中央悦城 ,龙岗中心城,3室1厅 | 91.39平米 | 南 | 精装 | 低楼层(共32层) | 2013年建 | 板楼,335,36657
宝安双地铁口    刚需上车两房   西南安静户型,金港华庭 ,西乡,2室1厅 | 66.17平米 | 西南 | 精装 | 低楼层(共31层) | 2009年建 | 板塔结合,495,74808
青年城邦园 2室1厅 362万,青年城邦园 ,龙华中心,2室1厅 | 57.7平米 | 东南 | 精装 | 中楼层(共13层) | 2006年建 | 塔楼,362,62739
富通蟠龙居 2室1厅 510万,富通蟠龙居 ,西乡,2室1厅 | 66.08平米 | 西南 | 精装 | 中楼层(共7层) | 2002年建 | 塔楼,510,77180
东海丽景花园大两房 近地铁口  满五年  中楼层视野好,东海丽景花园 ,盐田港,2室1厅 | 62.61平米 | 南 | 简装 | 中楼层(共25层) | 2006年建 | 塔楼,305,48715
佳兆业可园三期 2室2厅 415万,佳兆业可园三期 ,布吉关,2室2厅 | 70.62平米 | 东北 | 精装 | 高楼层(共26层) | 2006年建 | 板楼,415,58766
四季御园 关口物业 满五年唯一住房 南向安静 看房方便,四季御园 ,莲塘,3室1厅 | 74.6平米 | 南 | 精装 | 低楼层(共47层) | 2015年建 | 板塔结合,550,73727
靠求水山公园，方正实用两房，满五唯一,阳光翠园 ,布吉南岭,2室1厅 | 60.47平米 | 北 | 精装 | 中楼层(共8层) | 2001年建 | 板楼,218,36051
高楼层视野开阔 户型通透 安静 采光好大三房,梅林一村十三区 ,梅林,3室1厅 | 97.03平米 | 东北 | 精装 | 高楼层(共18层) | 2003年建 | 板塔结合,765,78842
满五唯一红本，精装修两房，三地铁口物业，业主急卖,龙珠花园C区 ,布吉关,2室1厅 | 60.04平米 | 南 | 精装 | 高楼层(共30层) | 1999年建 | 板塔结合,290,48302
满5免征值税，前地铁口、后花园，精装修三房，大阳台,康达尔花园五期蝴蝶堡 ,布吉大芬,3室1厅 | 68.31平米 | 南 | 精装 | 低楼层(共34层) | 2009年建 | 板塔结合,379,55483
高楼层东南向视野开阔 满5年唯一住宅 精装拎包入住,德邻雅筑 ,翻身,2室2厅 | 79.36平米 | 东南 | 精装 | 高楼层(共12层) | 2002年建 | 板塔结合,680,85686
南山来福士地铁口两房住宅满五唯一，诚意出售,天安公寓 ,南山中心,2室0厅 | 37.41平米 | 东南 | 简装 | 中楼层(共8层) | 1992年建 | 板塔结合,290,77520
万科第五园八期 3室1厅 495万,万科第五园八期 ,坂田,3室1厅 | 77.98平米 | 东北 | 精装 | 中楼层(共20层) | 2009年建 | 塔楼,495,63478
